model,alpha,n_obs,n_violations,expected_violations,failure_rate,avg_var,kupiec_pvalue,christoffersen_ind_pvalue,pinball_loss
Weighted Historical Simulation,0.01,3640,61,36.4,0.016758241758241758,-0.026384837936485883,0.00018698653803517207,0.021817114151609696,0.0003621948781336423
Weighted Historical Simulation,0.05,3640,193,182.0,0.05302197802197802,-0.01686140513372175,0.40723440340503125,0.2366383894736518,0.0011940443745580465
Weighted Historical Simulation,0.1,3640,371,364.0,0.10192307692307692,-0.011952481122904033,0.6997533283845652,0.35687060595231834,0.0019251898775610526
Gaussian KDE Weighted HS,0.01,3640,47,36.4,0.012912087912087911,-0.02762881763801154,0.09105511127773191,0.024574978173287354,0.00035145448254673604
Gaussian KDE Weighted HS,0.05,3640,167,182.0,0.045879120879120876,-0.017786455165660863,0.24762163332348408,0.06375268985211824,0.0011982832003523296
Gaussian KDE Weighted HS,0.1,3640,327,364.0,0.08983516483516484,-0.012916642284933479,0.037852329189943745,0.13492738289275674,0.0019205391276551802
"GARCH(1,1)-t",0.01,3640,61,36.4,0.016758241758241758,-0.02422704831117683,0.00018698653803517207,0.10446606454059848,0.0003233331881274637
"GARCH(1,1)-t",0.05,3640,237,182.0,0.06510989010989011,-0.014898790599331392,6.199225202996317e-05,0.691927289544974,0.0011772601216492905
"GARCH(1,1)-t",0.1,3640,432,364.0,0.11868131868131868,-0.010918867635669465,0.00025160918351130324,0.18582617895529874,0.0018990245960219033
"GJR-GARCH(1,1)-t",0.01,3640,53,36.4,0.01456043956043956,-0.024214490925201143,0.009623796242292926,0.800892021204337,0.0003051170890067275
"GJR-GARCH(1,1)-t",0.05,3640,238,182.0,0.06538461538461539,-0.015208274686047008,4.60179696438745e-05,0.9066356906180705,0.001149537116854181
"GJR-GARCH(1,1)-t",0.1,3640,406,364.0,0.11153846153846154,-0.011279768043708132,0.022449552502109338,0.07840405857389432,0.0018739392085570861
MLP Quantile,0.01,3640,17,36.4,0.00467032967032967,-0.1419730300381191,0.00030848338024624944,0.68954263922841,0.0014656221048010706
MLP Quantile,0.05,3640,121,182.0,0.03324175824175824,-0.06416459522033517,8.323564513190718e-07,0.008677744313831837,0.003866584233342585
MLP Quantile,0.1,3640,770,364.0,0.21153846153846154,-0.022093027987572393,0.0,3.42012973497674e-10,0.008696225525238828
