model,alpha,n_obs,n_violations,expected_violations,failure_rate,kupiec_pvalue,christoffersen_ind_pvalue,christoffersen_cc_pvalue,duration_pvalue,lopez_loss
Weighted Historical Simulation,0.01,4140,67,41.4,0.016184,0.000242,0.027265,0.000104,0.012145,0.016185
Weighted Historical Simulation,0.05,4140,218,207.0,0.052657,0.436583,0.106028,0.200119,0.012113,0.052662
Weighted Historical Simulation,0.1,4140,412,414.0,0.099517,0.917419,0.235352,0.491897,0.988452,0.099528
Gaussian KDE Weighted HS,0.01,3640,47,36.4,0.012912,0.091055,0.024575,0.019166,0.125776,0.012913
Gaussian KDE Weighted HS,0.05,3640,167,182.0,0.045879,0.247622,0.063753,0.091922,0.000318,0.045884
Gaussian KDE Weighted HS,0.1,3640,327,364.0,0.089835,0.037852,0.134927,0.037883,0.868504,0.089845
"GARCH(1,1)-t",0.01,4140,64,41.4,0.015459,0.001082,0.096393,0.001203,0.35683,0.01546
"GARCH(1,1)-t",0.05,4140,261,207.0,0.063043,0.000209,0.697432,0.00096,0.379065,0.063049
"GARCH(1,1)-t",0.1,4140,481,414.0,0.116184,0.000691,0.229812,0.001537,0.009127,0.116194
"GJR-GARCH(1,1)-t",0.01,4140,58,41.4,0.01401,0.014484,0.838774,0.049303,0.181551,0.01401
"GJR-GARCH(1,1)-t",0.05,4140,260,207.0,0.062802,0.000271,0.929847,0.001316,0.05821,0.062806
"GJR-GARCH(1,1)-t",0.1,4140,452,414.0,0.109179,0.052033,0.04233,0.019287,1e-05,0.109188
MLP Quantile,0.01,4140,19,41.4,0.004589,9e-05,0.675493,0.00043,0.540223,0.00459
MLP Quantile,0.05,4140,136,207.0,0.03285,0.0,0.00643,0.0,0.00025,0.032902
MLP Quantile,0.1,4140,861,414.0,0.207971,0.0,0.0,0.0,0.382275,0.208956
