model,window_size,decay,alpha,n_obs,n_violations,expected_violations,failure_rate,avg_var,kupiec_LR,kupiec_pvalue,christoffersen_ind_LR,christoffersen_ind_pvalue,lopez_loss
Ordinary HS,250,,0.01,4390,72,43.9,0.01640091116173121,-0.02843956460257611,15.226334305273667,9.536427308010076e-05,4.3501323472368085,0.03700607029820302,0.016403729839262738
Ordinary HS,250,,0.05,4390,237,219.5,0.05398633257403189,-0.018029785446714283,1.4330840549525874,0.23126177783519575,26.17232857539352,3.1226532259953643e-07,0.053995262809096604
Ordinary HS,250,,0.1,4390,450,439.0,0.10250569476082004,-0.012940266348001741,0.3040063393141281,0.5813816387923048,15.06793835791541,0.00010370991921881956,0.10252186832946973
Time-weighted HS,250,0.98,0.01,4390,72,43.9,0.01640091116173121,-0.027549554646173265,15.226334305273667,9.536427308010076e-05,4.3501323472368085,0.03700607029820302,0.016402210172505666
Time-weighted HS,250,0.98,0.05,4390,232,219.5,0.05284738041002278,-0.017652592180187873,0.7362075851051486,0.3908784387219164,2.7086249840274377,0.0998069855623287,0.052852545014264014
Time-weighted HS,250,0.98,0.1,4390,438,439.0,0.09977220956719818,-0.012921676393260808,0.0025327150460725534,0.9598625355793773,2.3664315342580267,0.12397014476903434,0.0997831158863371
KDE Time-weighted HS,250,0.98,0.01,4390,54,43.9,0.012300683371298405,-0.028907815493866135,2.187020281643413,0.13917833402622437,4.582665522844081,0.03229693744753981,0.01230165024549325
KDE Time-weighted HS,250,0.98,0.05,4390,194,219.5,0.04419134396355353,-0.01883014234805164,3.2398992479670596,0.07186505747648986,7.311022552806207,0.00685329179586569,0.044195775172918485
KDE Time-weighted HS,250,0.98,0.1,4390,383,439.0,0.08724373576309795,-0.01392308056940192,8.258250777970261,0.004056719780475282,3.78674034085725,0.05166016141464436,0.08725297868587056
Ordinary HS,500,,0.01,4140,67,41.4,0.01618357487922705,-0.030343312869666385,13.469405423083913,0.00024248513962454865,7.930225669600759,0.0048615733240230385,0.016186939582899438
Ordinary HS,500,,0.05,4140,214,207.0,0.051690821256038647,-0.01821152698944433,0.24655699266941156,0.6195099070089322,18.94111201351666,1.3481587210484314e-05,0.0517018297981321
Ordinary HS,500,,0.1,4140,396,414.0,0.09565217391304348,-0.01289960706609091,0.8810208762847651,0.3479222220557071,16.494762482045644,4.878465012025934e-05,0.0956708299010709
Time-weighted HS,500,0.98,0.01,4140,67,41.4,0.01618357487922705,-0.02696171404082952,13.469405423083913,0.00024248513962454865,4.873981350392228,0.02726452837423976,0.016184708603328872
Time-weighted HS,500,0.98,0.05,4140,218,207.0,0.052657004830917876,-0.01740733534437337,0.605247553579602,0.43658282214632604,2.6124414363102915,0.10602841419077558,0.05266192500345934
Time-weighted HS,500,0.98,0.1,4140,412,414.0,0.09951690821256039,-0.012606911931773908,0.010750777226348873,0.9174185730051271,1.408223022508082,0.23535160570397817,0.09952772804338317
KDE Time-weighted HS,500,0.98,0.01,4140,51,41.4,0.012318840579710146,-0.028327683222890795,2.094067996345075,0.14787186081615544,4.864148204897788,0.027420331599879666,0.012319698839187942
KDE Time-weighted HS,500,0.98,0.05,4140,186,207.0,0.04492753623188406,-0.018488980396726924,2.3183006371298234,0.1278596419656508,6.177340885544027,0.012939659723610553,0.04493181631855475
KDE Time-weighted HS,500,0.98,0.1,4140,362,414.0,0.08743961352657005,-0.013594734777210928,7.5458028881344035,0.006015001442744139,3.7442466024363057,0.052989610698448764,0.08744876500290175
Ordinary HS,1000,,0.01,3640,56,36.4,0.015384615384615385,-0.03337030085906087,9.154484910454585,0.0024810920832534222,14.006132038114174,0.00018221541452534407,0.015389261343439683
Ordinary HS,1000,,0.05,3640,177,182.0,0.04862637362637363,-0.01872604563573344,0.1458642364732441,0.7025193938753141,12.550722394707009,0.00039605316482826947,0.04864106787771248
Ordinary HS,1000,,0.1,3640,303,364.0,0.08324175824175824,-0.012867189983823848,11.975687787947209,0.000538991688029844,25.402036360504553,4.6542655585124493e-07,0.08326457175609321
Time-weighted HS,1000,0.98,0.01,3640,61,36.4,0.016758241758241758,-0.02638534133767878,13.957536430142113,0.00018698653803517207,5.260311457401485,0.021817114151609696,0.01675947507049407
Time-weighted HS,1000,0.98,0.05,3640,193,182.0,0.05302197802197802,-0.016861881614736108,0.6868601920450601,0.40723440340503125,1.400508860059972,0.2366383894736518,0.053027175399543096
Time-weighted HS,1000,0.98,0.1,3640,371,364.0,0.10192307692307692,-0.011952656144595841,0.14872859793149473,0.6997533283845652,0.8488756487772662,0.35687060595231834,0.10193456315991982
KDE Time-weighted HS,1000,0.98,0.01,3640,47,36.4,0.012912087912087911,-0.027628817638011584,2.8556202925087746,0.09105511127773191,5.053589440358053,0.024574978173287354,0.012913048290578294
KDE Time-weighted HS,1000,0.98,0.05,3640,167,182.0,0.045879120879120876,-0.01778645516566091,1.3366724983691256,0.24762163332348408,3.436965371304723,0.06375268985211824,0.045883748128249434
KDE Time-weighted HS,1000,0.98,0.1,3640,327,364.0,0.08983516483516484,-0.012916642284933527,4.311645580651202,0.037852329189943745,2.2348767492826482,0.13492738289275674,0.08984491049409069
