Model,Window,Alpha,Viol./Exp.,Fail. rate,Avg VaR,Kupiec p,Christoffersen p,Duration p,Lopez loss,n_obs,n_violations,expected_violations
"GARCH(1,1)-t",1000,1%,59 / 36.4,0.0162,-0.0244,0.0006,0.3424,0.0,0.01621,3640,59,36.4
"GARCH(1,1)-t",1000,5%,230 / 182.0,0.0632,-0.0151,0.0004,0.8973,0.0007,0.063192,3640,230,182.0
"GARCH(1,1)-t",1000,10%,418 / 364.0,0.1148,-0.0111,0.0035,0.1363,0.0001,0.114846,3640,418,364.0
"GJR-GARCH(1,1)-t",1000,1%,53 / 36.4,0.0146,-0.0243,0.0096,0.8009,0.0005,0.014561,3640,53,36.4
"GJR-GARCH(1,1)-t",1000,5%,229 / 182.0,0.0629,-0.0154,0.0006,0.6873,0.0002,0.062916,3640,229,182.0
"GJR-GARCH(1,1)-t",1000,10%,397 / 364.0,0.1091,-0.0115,0.0719,0.1017,0.0,0.109076,3640,397,364.0
GARCH-X-rv5-t,1000,1%,61 / 36.4,0.0168,-0.0235,0.0002,0.3831,0.0,0.016759,3640,61,36.4
GARCH-X-rv5-t,1000,5%,241 / 182.0,0.0662,-0.0151,0.0,0.9916,0.0,0.066213,3640,241,182.0
GARCH-X-rv5-t,1000,10%,403 / 364.0,0.1107,-0.0113,0.0338,0.5368,0.0004,0.110723,3640,403,364.0
GARCH-X-bv-t,1000,1%,65 / 36.4,0.0179,-0.0232,0.0,0.8762,0.0,0.017858,3640,65,36.4
GARCH-X-bv-t,1000,5%,233 / 182.0,0.064,-0.015,0.0002,0.7976,0.0,0.064015,3640,233,182.0
GARCH-X-bv-t,1000,10%,394 / 364.0,0.1082,-0.0112,0.1014,0.8186,0.0014,0.108251,3640,394,364.0
