model_name,base_model,alpha,n_forecasts,violations,expected_violations,failure_rate,avg_var,kupiec_p,christoffersen_p,duration_p,lopez_loss,pinball_loss,crossing_rate
Model A: MLP-QR,,0.01,3617.0,260.0,36.17,0.071882775781034,-0.0184167544132179,0.0,0.0,0.0,0.0719788695772916,0.0017120849957554,0.0682886369919823
Model A: MLP-QR,,0.05,3617.0,420.0,180.85,0.1161183301078241,-0.0120305375834344,0.0,0.0,2.238209617644316e-13,0.116233972920635,0.002577253262922,0.0682886369919823
Model A: MLP-QR,,0.1,3617.0,549.0,361.7000000000001,0.1517832457837987,-0.0090739920283215,0.0,0.0,6.331762191558177e-06,0.1520071025369497,0.0037003788688409,0.0682886369919823
Model B: MLP-QR + RV,,0.01,3617.0,243.0,36.17,0.0671827481338125,-0.0186545148473578,0.0,0.0,0.0,0.0675271905529977,0.0023682140995324,0.1180536356096212
Model B: MLP-QR + RV,,0.05,3617.0,438.0,180.85,0.121094829969588,-0.0107069975218998,0.0,0.0,1.2895462475626118e-11,0.1216484117695225,0.0035608755806673,0.1180536356096212
Model B: MLP-QR + RV,,0.1,3617.0,584.0,361.7000000000001,0.161459773292784,-0.0066968064991701,0.0,2.320366121466577e-14,0.0043405839936812,0.1629165998521063,0.0054721755284019,0.1180536356096212
"GARCH(1,1)-t baseline",,0.01,3640.0,59.0,36.4,0.01620879120879121,-0.02437958048618032,0.0005516795117792572,0.34241759923742965,0.15542663403659973,0.016209605075797037,0.00032661294022375475,0.0
"GARCH(1,1)-t baseline",,0.05,3640.0,230.0,182.0,0.06318681318681318,-0.015088573730019863,0.0004426925374038104,0.8973190838105887,0.9126071868974162,0.06319207615867864,0.0011736308152055749,0.0
"GARCH(1,1)-t baseline",,0.1,3640.0,418.0,364.0,0.11483516483516483,-0.011079984689841511,0.0034802061126261163,0.13627228656980228,0.00517491965307415,0.11484622877172435,0.0018868927625785737,0.0
"GJR-GARCH(1,1)-t baseline",,0.01,3640.0,53.0,36.4,0.01456043956043956,-0.024273016154822667,0.009623796242292926,0.800892021204337,0.400243184494146,0.01456112267372658,0.0003106480667388423,0.0
"GJR-GARCH(1,1)-t baseline",,0.05,3640.0,229.0,182.0,0.06291208791208791,-0.015395591663266516,0.000576199465963656,0.6873253411590003,0.08701644084140459,0.06291649601543263,0.0011448557856867574,0.0
"GJR-GARCH(1,1)-t baseline",,0.1,3640.0,397.0,364.0,0.10906593406593407,-0.011457819679266287,0.07191437319868521,0.10168355158876685,2.4903547494736777e-05,0.10907559629882023,0.0018611627967039177,0.0
Ordinary HS,,0.01,,,,0.0154,-0.0334,0.0025,0.0002,,0.015389,,
Ordinary HS,,0.05,,,,0.0486,-0.0187,0.7025,0.0004,,0.048641,,
Ordinary HS,,0.1,,,,0.0832,-0.0129,0.0005,0.0,,0.083265,,
Time-weighted HS,,0.01,,,,0.0168,-0.0264,0.0002,0.0218,,0.016759,,
Time-weighted HS,,0.05,,,,0.053,-0.0169,0.4072,0.2366,,0.053027,,
Time-weighted HS,,0.1,,,,0.1019,-0.012,0.6998,0.3569,,0.101935,,
KDE Time-weighted HS,,0.01,,,,0.0129,-0.0276,0.0911,0.0246,,0.012913,,
KDE Time-weighted HS,,0.05,,,,0.0459,-0.0178,0.2476,0.0638,,0.045884,,
KDE Time-weighted HS,,0.1,,,,0.0898,-0.0129,0.0379,0.1349,,0.089845,,
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.01,2640.0,104.0,26.400000000000002,0.03939393939393939,-0.022608436938466956,0.0,0.17208735277097043,0.0006112155101590799,0.03941161285660685,0.000603427642486399,0.03787878787878788
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.05,2640.0,287.0,132.0,0.10871212121212122,-0.014400955950347424,0.0,0.2462944054512004,0.6106245436208143,0.10874350736195615,0.0016210542652834751,0.03787878787878788
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.1,2640.0,394.0,264.0,0.14924242424242423,-0.011580827919974444,2.3314683517128287e-15,0.839250338319464,0.044645957444567896,0.1492901097709043,0.0024180794620382545,0.03787878787878788
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.01,2640.0,25.0,26.400000000000002,0.00946969696969697,-0.02963439910778437,0.7823192744704789,0.021741825418807204,0.7589701223856581,0.009470221151195562,0.0003495592741150233,0.005303030303030303
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.05,2640.0,131.0,132.0,0.04962121212121212,-0.01870266827313709,0.9287583693442721,0.5195657943652481,0.736211656130938,0.049625288810731166,0.001266483870158124,0.005303030303030303
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.1,2640.0,235.0,264.0,0.08901515151515152,-0.014140022489432753,0.05567886650769094,0.4736895175882547,0.3231376150476014,0.08902423196879007,0.0020690910662022268,0.005303030303030303
