model,alpha,kupiec_pvalue,christoffersen_ind_pvalue,duration_pvalue
Weighted Historical Simulation,0.01,0.0002424851396245,0.0272645283742397,0.0121450904688155
Weighted Historical Simulation,0.05,0.436582822146326,0.1060284141907755,0.0121126649429662
Weighted Historical Simulation,0.1,0.9174185730051272,0.2353516057039781,0.9884522733045874
Gaussian KDE Weighted HS,0.01,0.0910551112777319,0.0245749781732873,0.1257764318038151
Gaussian KDE Weighted HS,0.05,0.247621633323484,0.0637526898521182,0.0003178845019197
Gaussian KDE Weighted HS,0.1,0.0378523291899437,0.1349273828927567,0.8685041490137885
"GARCH(1,1)-t",0.01,0.0010818714177081,0.0963927505983991,0.3568304930975789
"GARCH(1,1)-t",0.05,0.0002093464243556,0.6974319342988446,0.3790651652072656
"GARCH(1,1)-t",0.1,0.0006909957907234,0.2298121471210428,0.0091268617256715
"GJR-GARCH(1,1)-t",0.01,0.0144843459681528,0.8387743901816703,0.1815513906244334
"GJR-GARCH(1,1)-t",0.05,0.0002714018883664,0.929847311920782,0.0582099964567363
"GJR-GARCH(1,1)-t",0.1,0.0520325641963314,0.0423297771702935,1.049437257150121e-05
MLP Quantile,0.01,9.045290669540408e-05,0.6754933159983872,0.5402227637724482
MLP Quantile,0.05,7.175731642217188e-08,0.0064303459502865,0.0002498242127254
MLP Quantile,0.1,0.0,4.838893730152448e-10,0.382274660116162
