model,alpha,n_obs,n_violations,expected_violations,failure_rate,kupiec_LR,kupiec_pvalue,christoffersen_ind_LR,christoffersen_ind_pvalue,christoffersen_cc_LR,christoffersen_cc_pvalue,duration_LR,duration_pvalue,lopez_loss,conclusion
Weighted Historical Simulation,0.01,4140,67,41.4,0.01618357487922705,13.469405423083913,0.00024248513962454865,4.873981350392228,0.02726452837423976,18.34338677347614,0.00010394034941008101,6.289564279504816,0.012145090468815511,0.016184708603328872,coverage rejected; independence rejected (too many violations)
Weighted Historical Simulation,0.05,4140,218,207.0,0.052657004830917876,0.605247553579602,0.43658282214632604,2.6124414363102915,0.10602841419077558,3.2176889898898935,0.20011871871922904,6.294302823258704,0.012112664942966256,0.05266192500345934,coverage accepted; independence accepted (too many violations)
Weighted Historical Simulation,0.1,4140,412,414.0,0.09951690821256039,0.010750777226348873,0.9174185730051271,1.408223022508082,0.23535160570397817,1.418973799734431,0.4918965248930487,0.00020948030396539252,0.9884522733045874,0.09952772804338317,coverage accepted; independence accepted (too few violations)
Gaussian KDE Weighted HS,0.01,3640,47,36.4,0.012912087912087911,2.8556202925087746,0.09105511127773191,5.053589440358053,0.024574978173287354,7.909209732866827,0.01916624027850211,2.343873791925887,0.12577643180381515,0.012913048290578294,coverage accepted; independence rejected (too many violations)
Gaussian KDE Weighted HS,0.05,3640,167,182.0,0.045879120879120876,1.3366724983691256,0.24762163332348408,3.436965371304723,0.06375268985211824,4.773637869673848,0.09192162797320136,12.96195827769725,0.0003178845019197185,0.045883748128249434,coverage accepted; independence accepted (too few violations)
Gaussian KDE Weighted HS,0.1,3640,327,364.0,0.08983516483516484,4.311645580651202,0.037852329189943745,2.2348767492826482,0.13492738289275674,6.54652232993385,0.0378826837300793,0.027409726172663795,0.8685041490137885,0.08984491049409069,coverage rejected; independence accepted (too few violations)
"GARCH(1,1)-t",0.01,4140,64,41.4,0.015458937198067632,10.681929770956685,0.0010818714177081024,2.7642351165729906,0.09639275059839914,13.446164887529676,0.0012028248538155095,0.8490172803373071,0.35683049309757897,0.015459656667030232,coverage rejected; independence accepted (too many violations)
"GARCH(1,1)-t",0.05,4140,261,207.0,0.06304347826086956,13.745278011210758,0.00020934642435566087,0.15115720641915686,0.6974319342988446,13.896435217629914,0.0009603453401995088,0.7737314592659459,0.37906516520726563,0.06304855150529715,coverage rejected; independence accepted (too many violations)
"GARCH(1,1)-t",0.1,4140,481,414.0,0.11618357487922705,11.513311232240994,0.0006909957907234032,1.4420236705564093,0.2298121471210428,12.955334902797404,0.0015373925430908209,6.797832302350798,0.009126861725671565,0.11619448765413203,coverage rejected; independence accepted (too many violations)
"GJR-GARCH(1,1)-t",0.01,4140,58,41.4,0.014009661835748793,5.978130712653865,0.014484345968152845,0.041396553163394856,0.8387743901816703,6.01952726581726,0.04930333106825635,1.7848786912705918,0.18155139062443348,0.014010266612592021,coverage rejected; independence accepted (too many violations)
"GJR-GARCH(1,1)-t",0.05,4140,260,207.0,0.06280193236714976,13.25811866963636,0.0002714018883664959,0.007750503760917127,0.9298473119207821,13.265869173397277,0.0013162946319213997,3.5876645161886245,0.0582099964567363,0.06280612500768958,coverage rejected; independence accepted (too many violations)
"GJR-GARCH(1,1)-t",0.1,4140,452,414.0,0.10917874396135266,3.7747214365290347,0.0520325641963314,4.121969283163708,0.042329777170293514,7.896690719692742,0.01928658775072334,19.419253661782932,1.049437257150121e-05,0.10918820626020657,coverage accepted; independence rejected (too many violations)
MLP Quantile,0.01,4140,19,41.4,0.004589371980676328,15.32620761066238,9.045290669540407e-05,0.17524333960906802,0.6754933159983872,15.501450950271447,0.0004304301608981653,0.3751270512851477,0.5402227637724482,0.004590011559844946,coverage rejected; independence accepted (too few violations)
MLP Quantile,0.05,4140,136,207.0,0.03285024154589372,29.0166921224652,7.175731642217187e-08,7.425569804163388,0.006430345950286576,36.44226192662859,1.2208529853729999e-08,13.413467246566597,0.00024982421272545796,0.03290186909146054,coverage rejected; independence rejected (too few violations)
MLP Quantile,0.1,4140,861,414.0,0.20797101449275363,422.8062837272255,0.0,38.74118996537891,4.838893730152449e-10,461.5474736926044,0.0,0.7633741157469558,0.38227466011616207,0.20895644416301362,coverage rejected; independence rejected (too many violations)
