model,alpha,lopez_loss_decimal,lopez_loss_percent
Ordinary HS,0.01,0.015536334549664714,0.07584549664714316
Ordinary HS,0.05,0.05304949538683082,0.24495386830812788
Ordinary HS,0.1,0.09548428310344219,0.39283103442180334
Time-weighted HS,0.01,0.015531756079582081,0.030060795820816714
Time-weighted HS,0.05,0.05152160166961603,0.11601669616021949
Time-weighted HS,0.1,0.10152938446204393,0.24384462043921576
KDE Time-weighted HS,0.01,0.013637496106641115,0.02496106641114806
KDE Time-weighted HS,0.05,0.045081520642779406,0.1027064277940696
KDE Time-weighted HS,0.1,0.08826960752141125,0.20857521411241317
GARCH-t,0.01,0.015531137974052107,0.02387974052105038
GARCH-t,0.05,0.0655366012920414,0.12851292041408457
GARCH-t,0.1,0.1147862147326401,0.24964732640081488
GJR-GARCH-t,0.01,0.014394585010034683,0.02085010034682375
GJR-GARCH-t,0.05,0.06591430007635997,0.1180007635997669
GJR-GARCH-t,0.1,0.11213295037792395,0.2295037792395787
GARCH-X-rv5-t,0.01,0.018182481599902683,0.02481599902684414
GARCH-X-rv5-t,0.05,0.06970181483324127,0.11814833241264927
GARCH-X-rv5-t,0.1,0.11516266535301102,0.22665353011023934
GARCH-X-bv-t,0.01,0.019697585709697416,0.025857096974143554
GARCH-X-bv-t,0.05,0.06667134689808885,0.11346898088854258
GARCH-X-bv-t,0.1,0.11288966083834885,0.22160838348845263
Model C2,0.01,0.009470221151195562,0.014711511955603175
Model C2,0.05,0.049625288810731166,0.09038810731173003
Model C2,0.1,0.08902423196879007,0.17981968790061512
